lap,lap_time_s,sector1_s,sector2_s,sector3_s,tyre_compound,tyre_age,track_status,weather,gap_to_car_ahead_s,predicted_lap_time_s,tyre_temp_proxy_c,speed_consistency
1,96.800,30.900,35.200,30.700,MEDIUM,1,NORMAL,DRY,2.8,96.750,93.0,0.96
2,94.900,30.100,34.600,30.200,MEDIUM,2,NORMAL,DRY,2.6,94.850,94.0,0.97
3,94.400,29.900,34.400,30.100,MEDIUM,3,NORMAL,DRY,2.4,94.350,95.0,0.98
4,94.180,29.820,34.310,30.050,MEDIUM,4,NORMAL,DRY,2.3,94.130,96.0,0.98
5,94.050,29.760,34.250,30.040,MEDIUM,5,NORMAL,DRY,2.2,94.000,96.8,0.98
6,93.980,29.740,34.220,30.020,MEDIUM,6,NORMAL,DRY,2.0,93.930,97.2,0.98
7,94.020,29.760,34.240,30.020,MEDIUM,7,NORMAL,DRY,1.9,93.970,97.6,0.97
8,94.110,29.790,34.300,30.020,MEDIUM,8,NORMAL,DRY,1.8,94.060,98.0,0.97
9,94.230,29.830,34.360,30.040,MEDIUM,9,NORMAL,DRY,1.7,94.180,98.4,0.97
10,94.360,29.880,34.420,30.060,MEDIUM,10,NORMAL,DRY,1.6,94.310,98.8,0.97
11,94.520,29.940,34.500,30.080,MEDIUM,11,NORMAL,DRY,1.4,94.470,99.2,0.96
12,94.720,30.020,34.600,30.100,MEDIUM,12,NORMAL,DRY,1.3,94.670,99.5,0.96
13,94.960,30.110,34.720,30.130,MEDIUM,13,NORMAL,DRY,1.2,94.910,99.8,0.95
14,95.230,30.220,34.850,30.160,MEDIUM,14,NORMAL,DRY,1.1,95.180,100.1,0.95
15,95.540,30.350,34.990,30.200,MEDIUM,15,NORMAL,DRY,1.0,95.490,100.3,0.94
16,95.910,30.490,35.180,30.240,MEDIUM,16,NORMAL,DRY,0.9,95.860,100.5,0.94
17,96.330,30.670,35.390,30.270,MEDIUM,17,NORMAL,DRY,0.8,96.280,100.7,0.93
18,96.790,30.850,35.630,30.310,MEDIUM,18,NORMAL,DRY,0.8,96.740,100.9,0.93
19,97.260,31.030,35.880,30.350,MEDIUM,19,NORMAL,DRY,0.7,97.210,101.0,0.92
20,97.830,31.250,36.180,30.400,MEDIUM,20,NORMAL,DRY,0.7,97.780,101.1,0.92
21,98.420,31.480,36.500,30.440,MEDIUM,21,NORMAL,DRY,0.6,98.370,101.2,0.91
22,99.050,31.740,36.830,30.480,MEDIUM,22,NORMAL,DRY,0.6,99.000,101.3,0.91
23,99.720,32.020,37.180,30.520,MEDIUM,23,NORMAL,DRY,0.5,99.670,101.4,0.90
24,100.480,32.330,37.600,30.550,MEDIUM,24,NORMAL,DRY,0.5,100.430,101.5,0.90
